fecha,estado,casos
2020-02-28,AGUASCALIENTES,0
2020-02-29,AGUASCALIENTES,0
2020-03-01,AGUASCALIENTES,0
2020-03-02,AGUASCALIENTES,0
2020-03-03,AGUASCALIENTES,0
2020-03-04,AGUASCALIENTES,0
2020-03-05,AGUASCALIENTES,0
2020-03-06,AGUASCALIENTES,0
2020-03-07,AGUASCALIENTES,0
2020-03-08,AGUASCALIENTES,0
2020-03-09,AGUASCALIENTES,0
2020-03-10,AGUASCALIENTES,0
2020-03-11,AGUASCALIENTES,0
2020-03-12,AGUASCALIENTES,0
2020-03-13,AGUASCALIENTES,0
2020-03-14,AGUASCALIENTES,1
2020-03-15,AGUASCALIENTES,0
2020-03-16,AGUASCALIENTES,0
2020-03-17,AGUASCALIENTES,1
2020-03-18,AGUASCALIENTES,3
2020-03-19,AGUASCALIENTES,1
2020-03-20,AGUASCALIENTES,2
2020-03-21,AGUASCALIENTES,1
2020-03-22,AGUASCALIENTES,1
2020-03-23,AGUASCALIENTES,4
2020-03-24,AGUASCALIENTES,0
2020-03-25,AGUASCALIENTES,17
2020-03-26,AGUASCALIENTES,3
2020-03-27,AGUASCALIENTES,6
2020-03-28,AGUASCALIENTES,5
2020-03-29,AGUASCALIENTES,3
2020-03-30,AGUASCALIENTES,4
2020-03-31,AGUASCALIENTES,1
2020-04-01,AGUASCALIENTES,0
2020-04-02,AGUASCALIENTES,0
2020-04-03,AGUASCALIENTES,2
2020-04-04,AGUASCALIENTES,0
2020-04-05,AGUASCALIENTES,3
2020-04-06,AGUASCALIENTES,4
2020-04-07,AGUASCALIENTES,1
2020-04-08,AGUASCALIENTES,1
2020-04-09,AGUASCALIENTES,0
2020-04-10,AGUASCALIENTES,3
2020-04-11,AGUASCALIENTES,1
2020-04-12,AGUASCALIENTES,2
2020-04-13,AGUASCALIENTES,7
2020-04-14,AGUASCALIENTES,2
2020-04-15,AGUASCALIENTES,11
2020-04-16,AGUASCALIENTES,6
2020-04-17,AGUASCALIENTES,15
2020-04-18,AGUASCALIENTES,12
2020-04-19,AGUASCALIENTES,3
2020-04-20,AGUASCALIENTES,17
2020-04-21,AGUASCALIENTES,13
2020-04-22,AGUASCALIENTES,10
2020-04-23,AGUASCALIENTES,20
2020-04-24,AGUASCALIENTES,11
2020-04-25,AGUASCALIENTES,1
2020-04-26,AGUASCALIENTES,7
2020-04-27,AGUASCALIENTES,15
2020-04-28,AGUASCALIENTES,27
2020-04-29,AGUASCALIENTES,17
2020-04-30,AGUASCALIENTES,25
2020-05-01,AGUASCALIENTES,4
